Kingdom,Phylum,Class,Subclass,Infraclass,Subterclass,Superorder,Order,Superfamily,Family,Genus,Species,Subfamily,Tribe,Subphylum,Suborder,Superclass,Infraorder,Parvorder,Section,Subsection,Flokkun,id,N,Artal,skipting,stod,Nu,A,worms
Animalia,Arthropoda,Malacostraca,Eumalacostraca,,,Peracarida,Amphipoda,,,,,,,Crustacea,,Multicrustacea,,,,,Amphipoda,3C,1,2016,4,3C,4,1135,1135
Animalia,Arthropoda,Malacostraca,Eumalacostraca,,,Peracarida,Amphipoda,,,,,,,Crustacea,,Multicrustacea,,,,,Amphipoda,4C,1,2016,4,4C,4,1135,1135
Animalia,Arthropoda,Malacostraca,Eumalacostraca,,,Peracarida,Amphipoda,,,,,,,Crustacea,,Multicrustacea,,,,,Amphipoda,4C,3,2016,4,4C,12,1135,1135
Animalia,Arthropoda,Malacostraca,Eumalacostraca,,,Peracarida,Amphipoda,,,,,,,Crustacea,,Multicrustacea,,,,,Amphipoda,8B,3,2016,4,8B,12,1135,1135
Animalia,Arthropoda,Malacostraca,Eumalacostraca,,,Peracarida,Amphipoda,,,,,,,Crustacea,,Multicrustacea,,,,,Amphipoda,E3C,1,2014,4,E3,4,1135,1135
Animalia,Arthropoda,Malacostraca,Eumalacostraca,,,Peracarida,Amphipoda,,,,,,,Crustacea,,Multicrustacea,,,,,Amphipoda,E3B,1,2015,4,E3,4,1135,1135
Animalia,Arthropoda,Malacostraca,Eumalacostraca,,,Peracarida,Amphipoda,,,,,,,Crustacea,,Multicrustacea,,,,,Amphipoda,B8A,3,2017,4,B8,12,1135,1135
Animalia,Arthropoda,Malacostraca,Eumalacostraca,,,Peracarida,Amphipoda,,,,,,,Crustacea,,Multicrustacea,,,,,Amphipoda,C4A,1,2017,4,C4,4,1135,1135
Animalia,Arthropoda,Malacostraca,Eumalacostraca,,,Peracarida,Amphipoda,,,,,,,Crustacea,,Multicrustacea,,,,,Amphipoda,E4A,1,2017,4,E4,4,1135,1135
Animalia,Arthropoda,Malacostraca,Eumalacostraca,,,Peracarida,Amphipoda,,,,,,,Crustacea,,Multicrustacea,,,,,Amphipoda,E4B,1,2017,4,E4,4,1135,1135
Animalia,Arthropoda,Malacostraca,Eumalacostraca,,,Peracarida,Amphipoda,,,,,,,Crustacea,,Multicrustacea,,,,,Amphipoda,B5A,7,2014,1,B5,7,1135,1135
Animalia,Arthropoda,Malacostraca,Eumalacostraca,,,Peracarida,Amphipoda,,,,,,,Crustacea,,Multicrustacea,,,,,Amphipoda,4B,11,2016,4,4B,44,1135,1135
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,,,Terebellida,,Terebellidae,Amphitrite,Amphitrite affinis,Terebellinae,Terebellini,,Terebelliformia,,,,,,Amphitrite affinis,U1A,1,2013,1,U1,1,131472,131472
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,,,Terebellida,,Terebellidae,Amphitrite,Amphitrite cirrata,Terebellinae,Terebellini,,Terebelliformia,,,,,,Amphitrite cirrata,E3A,3,2014,1,E3,3,131474,131474
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,,,Terebellida,,Terebellidae,Amphitrite,Amphitrite cirrata,Terebellinae,Terebellini,,Terebelliformia,,,,,,Amphitrite cirrata,E3C,1,2017,1,E3,1,131474,131474
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,,,Terebellida,,Terebellidae,Amphitrite,Amphitrite cirrata,Terebellinae,Terebellini,,Terebelliformia,,,,,,Amphitrite cirrata,E3C,1,2014,4,E3,4,131474,131474
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,,,Terebellida,,Terebellidae,Amphitrite,Amphitrite cirrata,Terebellinae,Terebellini,,Terebelliformia,,,,,,Amphitrite cirrata,U1A,1,2013,1,U1,1,131474,131474
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,,,Terebellida,,Terebellidae,Amphitrite,Amphitrite cirrata,Terebellinae,Terebellini,,Terebelliformia,,,,,,Amphitrite cirrata,E3A,1,2015,1,E3,1,131474,131474
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,,,Terebellida,,Terebellidae,Amphitrite,Amphitrite cirrata,Terebellinae,Terebellini,,Terebelliformia,,,,,,Amphitrite cirrata,E3B,3,2014,1,E3,3,131474,131474
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,,,Terebellida,,Terebellidae,Amphitrite,Amphitrite cirrata,Terebellinae,Terebellini,,Terebelliformia,,,,,,Amphitrite cirrata,E3C,1,2014,1,E3,1,131474,131474
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,,,Terebellida,,Terebellidae,Amphitrite,Amphitrite cirrata,Terebellinae,Terebellini,,Terebelliformia,,,,,,Amphitrite cirrata,3C,1,2016,1,3C,1,131474,131474
Animalia,Cnidaria,Anthozoa,,,,,,,,,,,,,,,,,,,Anthozoa,E3A,1,2014,1,E3,1,1292,1292
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,,,Spionida,,Apistobranchidae,Apistobranchus,Apistobranchus tullbergi,,,,Spioniformia,,,,,,Apistobranchus tullbergi,E3A,1,2015,4,E3,4,129851,129851
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,,,Spionida,,Apistobranchidae,Apistobranchus,Apistobranchus tullbergi,,,,Spioniformia,,,,,,Apistobranchus tullbergi,E4C,1,2015,4,E4,4,129851,129851
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,,,Spionida,,Apistobranchidae,Apistobranchus,Apistobranchus tullbergi,,,,Spioniformia,,,,,,Apistobranchus tullbergi,B8A,1,2017,4,B8,4,129851,129851
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,,,Spionida,,Apistobranchidae,Apistobranchus,Apistobranchus tullbergi,,,,Spioniformia,,,,,,Apistobranchus tullbergi,E3C,1,2017,4,E3,4,129851,129851
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,,,Spionida,,Apistobranchidae,Apistobranchus,Apistobranchus tullbergi,,,,Spioniformia,,,,,,Apistobranchus tullbergi,E3A,1,2017,4,E3,4,129851,129851
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,8C,5,2016,4,8C,20,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,C4C,1,2013,8,C4,8,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,E4A,1,2017,4,E4,4,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,8B,5,2016,4,8B,20,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,E3C,1,2014,1,E3,1,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,4B,2,2016,4,4B,8,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,E4B,2,2017,4,E4,8,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,E4C,3,2017,4,E4,12,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,C4C,1,2014,1,C4,1,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,E3C,1,2017,4,E3,4,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,5C,1,2016,4,5C,4,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,8A,2,2016,4,8A,8,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,3C,1,2016,4,3C,4,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,4B,1,2016,1,4B,1,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,B8B,2,2017,4,B8,8,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,A7C,1,2017,4,A7,4,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,U2C,1,2013,1,U2,1,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,U2B,3,2013,1,U2,3,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,B8A,2,2017,4,B8,8,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,B8C,1,2017,4,B8,4,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,B5B,1,2017,4,B5,4,138802,138802
Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,Arctica,Arctica islandica,,,,,,,,,,Arctica islandica,E4B,1,2015,4,E4,4,138802,138802
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Arenicolidae,Arenicola,Arenicola marina,,,,,,,,,,Arenicola marina,C4B,1,2014,1,C4,1,129868,129868
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Arenicolidae,Arenicola,Arenicola marina,,,,,,,,,,Arenicola marina,U1C,1,2013,1,U1,1,129868,129868
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Arenicolidae,Arenicola,Arenicola marina,,,,,,,,,,Arenicola marina,E4C,1,2014,4,E4,4,129868,129868
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Arenicolidae,Arenicola,Arenicola marina,,,,,,,,,,Arenicola marina,C4C,1,2015,1,C4,1,129868,129868
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Arenicolidae,Arenicola,Arenicola marina,,,,,,,,,,Arenicola marina,C4A,1,2014,1,C4,1,129868,129868
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,,,,,,,,,,,Aricidea,8A,2,2016,4,8A,8,129430,129430
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,3A,2,2016,4,3A,8,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,E4C,1,2017,4,E4,4,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,C4C,2,2013,8,C4,16,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,U1A,1,2013,1,U1,1,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,3C,3,2016,4,3C,12,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,E3A,8,2013,1,E3,8,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,E3B,1,2014,4,E3,4,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,E4B,1,2017,4,E4,4,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,B5C,2,2017,4,B5,8,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,C4A,1,2017,4,C4,4,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,E3A,1,2014,4,E3,4,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,U2B,1,2013,8,U2,8,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,E4B,1,2015,4,E4,4,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,8B,1,2016,4,8B,4,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,A7B,1,2017,4,A7,4,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,C4C,1,2013,1,C4,1,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,3B,1,2016,4,3B,4,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,5A,3,2016,4,5A,12,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,7B,1,2016,4,7B,4,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,B5A,1,2017,4,B5,4,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,B5B,2,2017,4,B5,8,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,A7B,1,2015,4,A7,4,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,7C,3,2016,4,7C,12,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,E3C,1,2017,4,E3,4,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,E4A,1,2017,4,E4,4,130572,130572
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,,,,,Paraonidae,Aricidea,Aricidea suecica,,,,,,,,,,Aricidea suecica,U2C,1,2013,8,U2,8,130572,130572
