"matched_taxon_name","Kingdom","Phylum","Class","Subclass","Infraclass","Subterclass","Superorder","Order","Superfamily","Family","Genus","Species","Subfamily","Tribe","Subphylum","Suborder","Superclass","Subgenus","Infraorder","Parvorder","Subspecies","Section","Subsection","Flokkun","id","N","Artal","skipting","stod","Nu","gamalt","A","worms","Nfm","Major Group","Family code","Species code","Food Source","Motility","Habit","Om/Ca/He","Food size/type","FeedMode","Feeding guild","Cleaned Taxon name"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","E3C",1,2014,1,"E3",1,"Amphitrite cirrata","131474",131474,8,"POSE","0314","0076","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Amphitrite cirrata"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","E3C",1,2016,1,"E3",1,"Amphitrite cirrata","131474",131474,8,"POSE","0314","0076","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Amphitrite cirrata"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","E3A",1,2017,4,"E3",4,"Apistobranchus tullbergi","129851",129851,33,"POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","E3A",1,2015,4,"E3",4,"Apistobranchus tullbergi","129851",129851,33,"POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","E4",3,1999,1,"E4",3,"Apistobranchus tullbergi","129851",129851,133,"POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","B8A",1,2017,4,"B8",4,"Apistobranchus tullbergi","129851",129851,33,"POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","E3",5,1999,1,"E3",5,"Apistobranchus tullbergi","129851",129851,222,"POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","E4C",1,2015,4,"E4",4,"Apistobranchus tullbergi","129851",129851,33,"POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","B5",4,1999,1,"B5",4,"Apistobranchus tullbergi","129851",129851,178,"POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","B8",1,1999,1,"B8",1,"Apistobranchus tullbergi","129851",129851,44,"POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","E3C",1,2017,4,"E3",4,"Apistobranchus tullbergi","129851",129851,33,"POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Arachnida","Animalia","Arthropoda","Arachnida","Acarina","","","","","","","","","","","Chelicerata","","","","","","","","","Acarina","E3D",2,2013,1,"E3",2,"Acarina sp","1349",1349,17,"CHAC","0000","0025","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei","Arachnida"
"Arachnida","Animalia","Arthropoda","Arachnida","Acarina","","","","","","","","","","","Chelicerata","","","","","","","","","Acarina","U1B",2,2013,8,"U1",16,"Acarina sp","1349",1349,133,"CHAC","0000","0025","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei","Arachnida"
"Arachnida","Animalia","Arthropoda","Arachnida","Acarina","","","","","","","","","","","Chelicerata","","","","","","","","","Acarina","B5A",1,2013,8,"B5",8,"Acarina sp","1349",1349,67,"CHAC","0000","0025","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei","Arachnida"
"Arachnida","Animalia","Arthropoda","Arachnida","Acarina","","","","","","","","","","","Chelicerata","","","","","","","","","Acarina","B0B",1,2013,1,"B0",1,"Acarina sp","1349",1349,8,"CHAC","0000","0025","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei","Arachnida"
"Astarte borealis","Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Archiheterodonta","","Carditida","Crassatelloidea","Astartidae","Astarte","","","","","","","","","","","","","Astarte borealis","U1C",1,2013,8,"U1",8,"Astartidae borealis","138818",137683,67,"MOBI","0352","0040","EP","D","B","Om","pom/phy","Su","EP-Su","Astarte borealis"
"Balanus balanus","Animalia","Arthropoda","Thecostraca","Cirripedia","Thoracica","","Thoracicalcarea","Balanomorpha","Balanoidea","Balanidae","Balanus","Balanus balanus","Balaninae","","Crustacea","","Multicrustacea","","","","","","","Balanus balanus","E4B",1,2016,1,"E4",1,"Balanus balanus","106213",106213,8,"CRCI","0690","0014","EP","S","R","Om","pom/phy/zoo","Su","EP-Su","Balanus balanus"
"Brada villosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Flabelligeridae","Brada","Brada villosa","","","","Cirratuliformia","","","","","","","","Brada villosa","U2A",1,2013,1,"U2",1,"Brada villosa","130099",130099,8,"POSE","0260","0435","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Brada villosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","A7C",1,2016,1,"A7",1,"Chaetozone setosa","129955",129955,8,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","U2A",39,2013,1,"U2",39,"Chaetozone setosa","129955",129955,325,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E3A",1,2017,4,"E3",4,"Chaetozone setosa","129955",129955,33,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E4C",1,2015,1,"E4",1,"Chaetozone setosa","129955",129955,8,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","C4C",1,2014,4,"C4",4,"Chaetozone setosa","129955",129955,33,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E4C",2,2016,1,"E4",2,"Chaetozone setosa","129955",129955,17,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E3B",4,2017,4,"E3",16,"Chaetozone setosa","129955",129955,133,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E3C",2,2015,1,"E3",2,"Chaetozone setosa","129955",129955,17,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E4B",3,2016,4,"E4",12,"Chaetozone setosa","129955",129955,100,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","C4A",2,2013,1,"C4",2,"Chaetozone setosa","129955",129955,17,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","C4A",1,2015,1,"C4",1,"Chaetozone setosa","129955",129955,8,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","C4B",3,2017,4,"C4",12,"Chaetozone setosa","129955",129955,100,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E4C",7,2015,4,"E4",28,"Chaetozone setosa","129955",129955,233,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","U1B",4,2013,8,"U1",32,"Chaetozone setosa","129955",129955,267,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E3A",3,2014,1,"E3",3,"Chaetozone setosa","129955",129955,25,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","U2B",1,2013,8,"U2",8,"Chaetozone setosa","129955",129955,67,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E3A",119,2013,1,"E3",119,"Chaetozone setosa","129955",129955,992,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","B5A",7,2016,4,"B5",28,"Chaetozone setosa","129955",129955,233,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","B8",7,1999,1,"B8",7,"Chaetozone setosa","129955",129955,311,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E3C",3,2015,4,"E3",12,"Chaetozone setosa","129955",129955,100,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","B0B",1,2013,1,"B0",1,"Chaetozone setosa","129955",129955,8,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E3B",1,2013,1,"E3",1,"Chaetozone setosa","129955",129955,8,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","B5",39,1999,1,"B5",39,"Chaetozone setosa","129955",129955,1733,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","C4C",3,2016,4,"C4",12,"Chaetozone setosa","129955",129955,100,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","C4B",2,2014,1,"C4",2,"Chaetozone setosa","129955",129955,17,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","B5B",1,2014,1,"B5",1,"Chaetozone setosa","129955",129955,8,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","U1B",1,2013,1,"U1",1,"Chaetozone setosa","129955",129955,8,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E3B",2,2015,1,"E3",2,"Chaetozone setosa","129955",129955,17,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E3C",1,2016,1,"E3",1,"Chaetozone setosa","129955",129955,8,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E4B",10,2014,1,"E4",10,"Chaetozone setosa","129955",129955,83,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","U2A",1,2013,8,"U2",8,"Chaetozone setosa","129955",129955,67,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","B8A",1,2015,4,"B8",4,"Chaetozone setosa","129955",129955,33,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","C4C",2,2013,8,"C4",16,"Chaetozone setosa","129955",129955,133,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","U1C",3,2013,1,"U1",3,"Chaetozone setosa","129955",129955,25,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","A7",4,1999,1,"A7",4,"Chaetozone setosa","129955",129955,178,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","C4B",4,2016,4,"C4",16,"Chaetozone setosa","129955",129955,133,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","B5A",3,2015,4,"B5",12,"Chaetozone setosa","129955",129955,100,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E3",6,1999,1,"E3",6,"Chaetozone setosa","129955",129955,267,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","B5C",1,2015,4,"B5",4,"Chaetozone setosa","129955",129955,33,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E4B",4,2015,1,"E4",4,"Chaetozone setosa","129955",129955,33,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Cirratulidae","Chaetozone","Chaetozone setosa","","","","Cirratuliformia","","","","","","","","Chaetozone setosa","E4B",3,2015,4,"E4",12,"Chaetozone setosa","129955",129955,100,"POSE","0252","0500","SR","D","F","Om","sed/pom/mic/dia","De","SR-De","Chaetozone setosa"
