"","x"
"38","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Arenicolidae
Genus Arenicolides
Species Arenicolides ecaudata"
"39","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Dorvilleidae
Genus Arenotrocha
Species Arenotrocha minuta"
"40","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Paraonidae
Genus Aricidea
Species Aricidea albatrossae"
"41","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Paraonidae
Genus Aricidea
Species Aricidea catherinae"
"42","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Paraonidae
Genus Aricidea
Species Aricidea cerrutii"
"43","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Paraonidae
Genus Aricidea
Species Aricidea minuta"
"44","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Paraonidae
Genus Aricidea
Species Aricidea simonae"
"45","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Paraonidae
Genus Aricidea
Species Aricidea suecica"
"46","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Artacaminae
Genus Artacama
Species Artacama proboscidea"
"47","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Opheliida
Family Scalibregmatidae
Genus Asclerocheilus
Species Asclerocheilus intermedius"
"48","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Austrolaenilla
Species Austrolaenilla mollis"
"49","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Autolytinae
Genus Autolytus
Species Autolytus alexandri"
"50","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Autolytinae
Genus Autolytus
Species Autolytus brachycephalus"
"51","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Autolytinae
Genus Autolytus
Species Autolytus edwarsi"
"52","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Autolytinae
Genus Autolytus
Species Autolytus inermis"
"53","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Autolytinae
Genus Autolytus
Species Autolytus langerhansi"
"54","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Autolytinae
Genus Autolytus
Species Autolytus longeferiens"
"55","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Autolytinae
Genus Autolytus
Species Autolytus prolifer"
"56","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Autolytinae
Genus Autolytus
Species Autolytus quinquedecimdentatus"
"57","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Autolytinae
Genus Autolytus
Species Autolytus rubrolineatus"
"58","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Autolytinae
Genus Autolytus
Species Autolytus rubropunctatus"
"59","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Terebellinae
Genus Axionice
Species Axionice maculata"
"60","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Capitellidae
Genus Baldia
Species Baldia johnstoni"
"61","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Family Nerillidae
Genus Bathychaetus
Species Bathychaetus heptapous"
"62","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Sabellinae
Genus Bispira
Species Bispira crassicornis"
"63","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Sabellinae
Genus Bispira
Species Bispira volutacornis"
"64","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Flabelligerida
Family Flabelligeridae
Genus Brada
Species Brada inhabilis"
"65","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Flabelligerida
Family Flabelligeridae
Genus Brada
Species Brada villosa"
"66","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Sabellinae
Genus Branchiomma
Species Branchiomma bombyx"
"67","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Sabellinae
Genus Branchiomma
Species Branchiomma inconspicua"
"68","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Exogoninae
Genus Brania
Species Brania limbata"
"69","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Exogoninae
Genus Brania
Species Brania pusilla"
"70","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Bylgides
Species Bylgides elegans"
"71","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Bylgides
Species Bylgides groenlandicus"
"72","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Bylgides
Species Bylgides sarsi"
"73","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Calamyzinae
Genus Calamyzas
Species Calamyzas amphictenicola"
"74","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Capitellidae
Genus Capitella
Species Capitella capitata"
"75","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Capitellidae
Genus Capitella
Species Capitella giardi"
"76","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Capitellidae
Genus Capitella
Species Capitella minima"
"77","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Cirratulidae
Genus Caulleriella
Species Caulleriella alata"
"78","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Cirratulidae
Genus Caulleriella
Species Caulleriella bioculata"
"79","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Cirratulidae
Genus Caulleriella
Species Caulleriella caput-esocis"
"80","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Cirratulidae
Genus Caulleriella
Species Caulleriella parva"
"81","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Cirratulidae
Genus Caulleriella
Species Caulleriella serrata"
"82","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Nereididae
Subfamily Gymnonereidinae
Genus Ceratocephale
Species Ceratocephale loveni"
"83","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Chaetoparia
Species Chaetoparia nilssoni"
"84","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Chaetopterida
Family Chaetopteridae
Genus Chaetopterus
Species Chaetopterus variopedatus"
"85","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Cirratulidae
Genus Chaetozone
Species Chaetozone setosa"
"86","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Maldaninae
Genus Chirimia
Species Chirimia biceps"
"87","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Serpulidae
Subfamily Serpulinae
Genus Chitinopoma
Species Chitinopoma serrula"
"88","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Fabriciinae
Genus Chone
Species Chone duneri"
"89","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Fabriciinae
Genus Chone
Species Chone fauveli"
"90","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Fabriciinae
Genus Chone
Species Chone filicaudata"
"91","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Fabriciinae
Genus Chone
Species Chone longocirrata"
"92","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Serpulidae
Subfamily Spirorbinae
Genus Circeis
Species Circeis armoricana"
"93","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Serpulidae
Subfamily Spirorbinae
Genus Circeis
Species Circeis spirillum"
"94","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Cirratulidae
Genus Cirratulus
Species Cirratulus cirratus"
"95","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Cirratulidae
Genus Cirratulus
Species Cirratulus filiformis"
"96","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Cirratulidae
Genus Cirriformia
Species Cirriformia tentaculata"
"97","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Paraonidae
Genus Cirrophorus
Species Cirrophorus armatus"
"98","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Paraonidae
Genus Cirrophorus
Species Cirrophorus eliasoni"
"99","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Paraonidae
Genus Cirrophorus
Species Cirrophorus lyra"
"100","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Euclymeninae
Genus Clymenella
Species Clymenella cincta"
"101","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Euclymeninae
Genus Clymenella
Species Clymenella torquata"
"102","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Clymenurinae
Genus Clymenura
Species Clymenura lankesteri"
"103","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Glyceroidae
Family Sphaerodoridae
Genus Commensodorum
Species Commensodorum commensalis"
"104","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cossurida
Family Cossuridae
Genus Cossura
Species Cossura longocirrata"
"105","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Ctenodrilida
Family Ctenodrilidae
Subfamily Ctenodrilinae
Genus Ctenodrilus
Species Ctenodrilus serratus"
"106","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Capitellidae
Genus Dasybranchus
Species Dasybranchus caducus"
"107","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Dorvilleidae
Genus Dinophilus
Species Dinophilus gyrociliatus"
"108","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Dorvilleidae
Genus Dinophilus
Species Dinophilus taeniatus"
"109","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Diplaconotum
Species Diplaconotum paucidentatum"
"110","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Flabelligerida
Family Flabelligeridae
Genus Diplocirrus
Species Diplocirrus glaucus"
"111","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Serpulidae
Subfamily Serpulinae
Genus Ditrupa
Species Ditrupa arietina"
"112","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Family Diurodrilidae
Genus Diurodrilus
Species Diurodrilus minimus"
"113","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Family Diurodrilidae
Genus Diurodrilus
Species Diurodrilus subterraneus"
"114","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Cirratulidae
Genus Dodecaceria
Species Dodecaceria concharum"
"115","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Dorvilleidae
Genus Dorvillea
Species Dorvillea erucaeformis"
"116","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Oenonidae
Genus Drilonereis
Species Drilonereis brattstroemi"
"117","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Oenonidae
Genus Drilonereis
Species Drilonereis filum"
"118","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Chrysopetalidae
Genus Dysponetus
Species Dysponetus caecus"
"119","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Chrysopetalidae
Genus Dysponetus
Species Dysponetus paleophorus"
"120","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Eclysippe
Species Eclysippe vanelli"
"121","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Enipo
Species Enipo elisabethae"
"122","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Enipo
Species Enipo kinbergi"
"123","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Glyceroidae
Family Sphaerodoridae
Genus Ephesiella
Species Ephesiella peripatus"
"124","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eteone
Species Eteone barbata"
"125","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eteone
Species Eteone flava"
"126","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eteone
Species Eteone foliosa"
"127","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eteone
Species Eteone fucata"
"128","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eteone
Species Eteone longa"
"129","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eteone
Species Eteone picta"
"130","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eteone
Species Eteone spetsbergensis"
"131","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eteone
Species Eteone suecica"
"132","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Fabriciinae
Genus Euchone
Species Euchone analis"
"133","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Fabriciinae
Genus Euchone
Species Euchone papillosa"
"134","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Fabriciinae
Genus Euchone
Species Euchone rubrocincta"
"135","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Euclymeninae
Genus Euclymene
Species Euclymene droebachiensis"
"136","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Euclymeninae
Genus Euclymene
Species Euclymene lindrothi"
"137","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Euclymeninae
Genus Euclymene
Species Euclymene oerstedi"
"138","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Euclymeninae
Genus Euclymene
Species Euclymene robusta"
"139","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Eucranta
Species Eucranta villosa"
"140","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eulalia
Species Eulalia bilineata"
"141","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eulalia
Species Eulalia clavigera"
"142","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eulalia
Species Eulalia expusilla"
"143","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eulalia
Species Eulalia hanssoni"
"144","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eulalia
Species Eulalia mustela"
"145","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eulalia
Species Eulalia tjalfiensis"
"146","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eulalia
Species Eulalia tripunctata"
"147","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eulalia
Species Eulalia viridis"
"148","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eumida
Species Eumida arctica"
"149","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eumida
Species Eumida bahusiensis"
"150","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eumida
Species Eumida ockelmanni"
"151","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Eumida
Species Eumida sanguinea"
"152","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Eunicidae
Genus Eunice
Species Eunice dubitata"
"153","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Eunicidae
Genus Eunice
Species Eunice norvegica"
"154","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Eunicidae
Genus Eunice
Species Eunice pennata"
"155","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Eunoe
Species Eunoe nodosa"
"156","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Amphinomida
Family Euphrosinidae
Genus Euphrosine
Species Euphrosine armadillo"
"157","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Amphinomida
Family Euphrosinidae
Genus Euphrosine
Species Euphrosine borealis"
"158","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Amphinomida
Family Euphrosinidae
Genus Euphrosine
Species Euphrosine foliosa"
"159","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Terebellinae
Genus Eupolymnia
Species Eupolymnia nebulosa"
"160","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Terebellinae
Genus Eupolymnia
Species Eupolymnia nesidensis"
"161","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Eurysyllinae
Genus Eurysyllis
Species Eurysyllis tuberculata"
"162","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Eusyllinae
Genus Eusyllis
Species Eusyllis assimilis"
"163","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Eusyllinae
Genus Eusyllis
Species Eusyllis blomstrandi"
"164","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Eusyllinae
Genus Eusyllis
Species Eusyllis lamelligera"
"165","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Opheliida
Family Opheliidae
Subfamily Opheliinae
Genus Euzonus
Species Euzonus flabelligerus"
"166","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Exogoninae
Genus Exogone
Species Exogone furcifera"
"167","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Exogoninae
Genus Exogone
Species Exogone hebes"
